Feature,Importance
station_delay,0.22307696985032888
weather_Heavy Rain,0.1739291352784993
previous_delay,0.14267693094545866
is_peak_hour,0.09323771050501278
distance_km,0.08860938267985347
weather_Fog,0.061800263140539526
weather_Rain,0.06084246398490533
rainfall,0.04213218122812638
departure_hour,0.03589987190501995
temperature,0.03222161793029316
weather_Cloudy,0.006952990064928179
destination_Tirupati,0.004622920247859851
source_Nellore,0.004271738716538448
source_Hyderabad,0.003703556496977443
destination_Warangal,0.0035504323207633088
destination_Vijayawada,0.0032308910700831668
distance_category_Medium,0.0024724401114321185
destination_Hyderabad,0.0023275874663928934
source_Kurnool,0.002297838291713831
destination_Visakhapatnam,0.0022832949916757324
distance_category_Long,0.0022557275714809506
source_Vijayawada,0.00225510246092366
source_Secunderabad,0.002121495465845188
destination_Nizamabad,0.002066098965717352
distance_category_Very_Long,0.0011613583096304694
departure_dayofweek,0.0
departure_minute,0.0
departure_day,0.0
departure_month,0.0
